Code,country,pop_2020,area_km2,density_perkm2
US_IL,Illinois,12659700,143793.65481,88.04
US_IN,Indiana,6745350,92788.98174,72.70
US_KS,Kansas,2910360,211754.99241,13.74
US_KY,Kentucky,4499690,102268.34514,44.00
US_LA,Louisiana,4645180,111897.92796,41.51
US_MA,Massachusetts,6976600,20201.922,345.34
US_MD,Maryland,6083120,25141.03293,241.96
US_ME,Maine,1345790,79883.06157,16.85
US_MI,Michigan,10045000,146435.44461,68.60
US_MN,Minnesota,5700670,206233.13373,27.64
US_MO,Missouri,6169270,178041.09258,34.65
US_MS,Mississippi,2989260,121530.10077,24.60
US_MT,Montana,1086760,376962.68454,2.88
US_NC,North Carolina,10611900,125920.13382,84.27
US_ND,North Dakota,761723,178711.89999,4.26
US_NE,Nebraska,1952570,198973.39176,9.81
US_NH,New Hampshire,1371250,23188.18047,59.14
US_NJ,New Jersey,8936570,19046.78646,469.19
US_NM,New Mexico,2096640,314160.60702,6.67
US_NV,Nevada,3139660,284331.69219,11.04
US_NY,New York,19440500,122055.86874,159.28
US_OH,Ohio,11747700,105829.58139,111.01
US_OK,Oklahoma,3954820,177660.36405,22.26
US_OR,Oregon,4301090,248607.96012,17.30
US_PA,Pennsylvania,12820900,115883.92257,110.64
US_RI,Rhode Island,1056160,2678.04966,394.38
US_SC,South Carolina,5210100,77857.68939,66.92
US_SD,South Dakota,903027,196349.73189,4.60
US_TN,Tennessee,6897580,106798.23765,64.59
US_TX,Texas,29472300,676588.26768,43.56
US_UT,Utah,3282120,212819.4783,15.42
US_VA,Virginia,8626210,102278.7051,84.34
US_VI,Virgin Islands,104425,347,300.94
US_VT,Vermont,628061,23871.93783,26.31
US_WA,Washington,7797100,172120.37544,45.30
US_WI,Wisconsin,5851750,140268.67842,41.72
US_WV,West Virginia,1778070,62258.17962,28.56
US_WY,Wyoming,567025,251469.89907,2.25
