,CountryName,CountryCode,imf_region
152,Sri Lanka,LKA,EmergingAsia
153,Sudan,SDN,LowIncomeOthers
154,Suriname,SUR,EmergingLatinAmerica
155,Sweden,SWE,Euro
156,Switzerland,CHE,Euro
157,Syria,SYR,LowIncomeOthers
158,Taiwan,TWN,EmergingAsia
159,Tajikistan,TJK,LowIncomeOthers
160,Tanzania,TZA,LowIncomeAfrica
161,Thailand,THA,EmergingAsia
162,Timor-Leste,TLS,LowIncomeAsia
163,Togo,TGO,LowIncomeAfrica
164,Trinidad and Tobago,TTO,LowIncomeLatinAmerica
165,Tunisia,TUN,EmergingAfrica
166,Turkey,TUR,EmergingEurope
167,Turkmenistan,TKM,EmergingAsia
168,Uganda,UGA,LowIncomeAfrica
169,Ukraine,UKR,EmergingEurope
170,United Arab Emirates,ARE,EmergingMiddleEast
171,United Kingdom,GBR,Euro
172,United States,USA,HighIncomeOthers
173,United States Virgin Islands,VIR,HighIncomeOthers
174,Uruguay,URY,EmergingLatinAmerica
175,Uzbekistan,UZB,LowIncomeOthers
176,Vanuatu,VUT,EmergingAsia
177,Venezuela,VEN,EmergingLatinAmerica
178,Vietnam,VNM,LowIncomeAsia
179,Yemen,YEM,LowIncomeOthers
180,Zambia,ZMB,LowIncomeAfrica
181,Zimbabwe,ZWE,LowIncomeAfrica
182,Tonga,TON,LowIncomeOthers
